Nombre;URL;Precio;Area;Habitaciones;Baños
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-et-iii-edif-el-coliseo-2-habitaciones-1-banos-1-garajes/16739-M4867556;$381.000.000;47 m²;2;1
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/800-M4264938;$383.800.000;61 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-2-habitaciones-2-banos-1-garajes/3147-M4182494;$385.000.000;55 m²;2;2
Apartamento en Venta, CHAPINERO GALERIAS, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-quesada-2-habitaciones-2-banos-1-garajes/3147-M4898960;$385.000.000;53 m²;2;2
Apartamento en Venta, CHAPINERO Chicó, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-1-banos/MC4597576;$389.900.000;95 m²;2;1
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-1-banos/754-M4700224;$390.000.000;68.59 m²;2;1
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/646-M4026149;$390.000.000;90 m²;2;2
Apartamento en Venta, CHAPINERO ALTO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos/4957-M4661193;$390.000.000;71 m²;2;2
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/RV-M4841323;$390.000.000;61.7 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-2-habitaciones-2-banos-1-garajes/3147-M3367828;$390.000.000;89 m²;2;2
Apartamento en Venta, San Luis Teusaquillo, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-sur-occidental-2-habitaciones-2-banos/RV-M4817541;$390.000.000;87.54 m²;2;2
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos/258-M4592311;$390.000.000;76 m²;2;2
Apartamento en Venta, BOSQUE CALDERON Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/MC4695613;$390.000.000;60.7 m²;2;2
